Region,Destination Country,lat,lon
"56122, THESSALONIKI, ΜΕΝΕΜΕΝΗ",GREECE,40.6562959,22.9092506
"81400, LESVOS, ΜΥΡΙΝΑ",GREECE,39.8879888,25.0994065
"13344, ATTIKI, ΑΝΩ ΛΙΟΣΙΑ",GREECE,38.0701691,23.7163417
"58100, PELLA GREECE, ΓΙΑΝΝΙΤΣΑ",GREECE,40.8007191,22.3938141
"45500, IOANNINA, ΙΩΑΝΝΙΝΑ",GREECE,39.6028264,20.8594247
"16674, ATTIKI, ΓΛΥΦΑΔΑ",GREECE,37.8658343,23.7562354
"18648, PIRAEUS, ΔΡΑΠΕΤΣΩΝΑ",GREECE,37.9494295,23.6253179
"13231, ATTIKI, ΠΕΤΡΟΥΠΟΛΗ",GREECE,38.037837,23.6766275
"41500, LARISSA, ΛΑΡΙΣΑ",GREECE,39.5928055,22.4361696
"84600, CYCLADES, ΜΥΚΟΝΟΣ",GREECE,37.44529,25.32872
"18453, PIRAEUS, ΝΙΚΑΙΑ",GREECE,37.9730076,23.6447446
"32300, BOEOTIA, ΟΡΧΟΜΕΝΟΣ",GREECE,38.5146592,23.051498
"18756, PIRAEUS, ΚΕΡΑΤΣΙΝΙ",GREECE,37.960817,23.6170098
"37100, VOLOS, ΑΛΜΥΡΟΣ",GREECE,39.2402541,22.7333238
"85100, DODECANESE GREECE, ΡΟΔΟΣ",GREECE,36.4250258,28.2179606
"71305, HERAKLION CRETE, ΗΡΑΚΛΕΙΟ",GREECE,35.3392489,25.1368286
"64200, KAVALA GREECE, ΧΡΥΣΟΥΠΟΛΗ",GREECE,40.9875972,24.6738466
"73135, CHANIA, ΧΑΝΙΑ",GREECE,35.5104785,24.0180757
"58500, PELLA GREECE, ΣΚΥΔΡΑ",GREECE,40.7733261,22.1635935
"41221, LARISSA, ΛΑΡΙΣΑ",GREECE,39.6392252,22.4190779
"12462, ATTIKI, ΧΑΪΔΑΡΙ",GREECE,38.0140903,23.6411499
"26223, ACHAIA, ΠΑΤΡΑ",GREECE,38.2597605,21.7426934
"72200, LASITHI, ΙΕΡΑΠΕΤΡΑ",GREECE,35.023446,25.7725696
"53200, FLORINA, ΑΜΥΝΤΑΙΟ",GREECE,40.6897584,21.6790753
"14231, ATTIKI, ΝΕΑ ΙΩΝΙΑ",GREECE,38.0410248,23.7505267
"30300, AITOLOAKARNANIAS, ΝΑΥΠΑΚΤΟΣ",GREECE,38.3948326,21.8333671
"54633, THESSALONIKI, ΘΕΣΣΑΛΟΝΙΚΗ",GREECE,40.6266729,22.9497965
"19003, ATTIKI, ΜΑΡΚΟΠΟΥΛΟ",GREECE,37.8829311,23.9676027
"14122, ATTIKI, ΗΡΑΚΛΕΙΟ - ATTIKI",GREECE,38.0522601,23.7670943
"81109, LESVOS, ΠΕΤΡΑ",GREECE,39.3273701,26.1755616
"68200, ALEXANDROUPOLI, ΟΡΕΣΤΙΑΔΑ",GREECE,41.485929,26.5337386
"74100, RETHYMNO, ΡΕΘΥΜΝΟ",GREECE,35.3691895,24.501051
"17564, ATTIKI, ΠΑΛΑΙΟ ΦΑΛΗΡΟ",GREECE,37.9367961,23.6996831
"17124, ATTIKI, ΝΕΑ ΣΜΥΡΝΗ",GREECE,37.9439755,23.7221205
"20006, KORINTHOS, ΒΡΑΧΑΤΙ",GREECE,37.944391,22.7992783
"59200, IMATHIA, ΝΑΟΥΣΑ",GREECE,40.6424397,22.0598385
"10560, ATTIKI, ΠΛΑΤΕΙΑ ΚΑΠΝΙΚΑΡΕΑΣ",GREECE,37.9763595,23.728802
"18454, PIRAEUS, ΝΙΚΑΙΑ",GREECE,37.9729726,23.6590216
"17342, ATTIKI, ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ",GREECE,37.9265965,23.7355532
"57009, THESSALONIKI, ΚΑΛΟΧΩΡΙ",GREECE,40.642437,22.8614544
"18546, PIRAEUS, ΠΕΙΡΑΙΑΣ",GREECE,37.959322,23.6329441
"53070, FLORINA, ΦΙΛΩΤΑΣ",GREECE,40.6281574,21.7097763
"70014, HERAKLION CRETE, ΛΙΜΕΝΑΣ ΧΕΡΣΟΝΗΣΟΥ",GREECE,35.315127,25.3936598
"57014, THESSALONIKI, ΣΤΑΥΡΟΣ ΘΕΣ/ΝΙΚΗΣ",GREECE,40.6876219,23.6797861
"57012, THESSALONIKI, ΖΑΓΚΛΙΒΕΡΙ",GREECE,40.571922,23.2887816
"57002, THESSALONIKI, ΣΟΧΟΣ",GREECE,40.8184711,23.355278
"15354, ATTIKI, ΓΛΥΚΑ ΝΕΡΑ",GREECE,37.9979853,23.8488022
"64010, KAVALA GREECE, ΠΡΙΝΟΣ",GREECE,40.7305948,24.5698873
"12461, ATTIKI, ΧΑΪΔΑΡΙ",GREECE,38.0085673,23.6633027
"16675, ATTIKI, ΓΛΥΦΑΔΑ",GREECE,37.8653219,23.7499233
"17456, ATTIKI, ΑΛΙΜΟΣ",GREECE,37.9171593,23.7361444
"58200, PELLA GREECE, ΕΔΕΣΣΑ",GREECE,40.8038712,22.0376172
"58400, PELLA GREECE, ΑΡΙΔΑΙΑ",GREECE,40.9806146,22.0459786
"19005, ATTIKI, ΝΕΑ ΜΑΚΡΗ",GREECE,38.0872037,23.9766227
"20200, KORINTHOS, ΚΙΑΤΟ",GREECE,38.0100611,22.7202213
"71303, HERAKLION CRETE, ΗΡΑΚΛΕΙΟ",GREECE,35.3418789,25.1316096
"30100, AITOLOAKARNANIAS, ΑΓΡΙΝΙΟ",GREECE,38.6682719,21.4188214
"33200, FOKIDA, ΙΤΕΑ FOKIDA",GREECE,38.4334754,22.4239321
"17236, ATTIKI, ΔΑΦΝΗ - ΥΜΗΤΤΟΣ",GREECE,37.941924,23.7407903
"52100, KASTORIA, ΚΑΣΤΟΡΙΑ",GREECE,40.5278383,21.261802
"41336, LARISSA, ΛΑΡΙΣΑ",GREECE,39.641129,22.4345549
"10433, ATTIKI, ΜΟΥΣΕΙΟ",GREECE,37.9908152,23.7304704
"11145, ATTIKI, ΠΑΤΗΣΙΑ",GREECE,38.0126098,23.7290084
"63085, HALKIDIKI, ΠΕΥΚΟΧΩΡΙ",GREECE,39.9901652,23.6077956
"57013, THESSALONIKI, ΩΡΑΙΟΚΑΣΤΡΟ",GREECE,40.7215095,22.9160208
"38333, VOLOS, ΒΟΛΟΣ",GREECE,39.3670876,22.9450008
"18010, PIRAEUS, ΑΙΓΙΝΑ",GREECE,37.7465135,23.427318
"73100, CHANIA, ΧΑΝΙΑ",GREECE,35.5115493,24.0097715
"85400, DODECANESE GREECE, ΛΕΡΟΣ",GREECE,37.1384711,26.8590033
"26222, ACHAIA, ΠΑΤΡΑ",GREECE,38.2428242,21.7294803
"11745, ATTIKI, ΝΕΟΣ ΚΟΣΜΟΣ",GREECE,37.9657539,23.7288924
"18020, PIRAEUS, ΠΟΡΟΣ ΤΡΟΙΖΗΝΙΑΣ",GREECE,37.5159723,23.3888466
